id,vote_average,vote_count,title,genre_id,overview,popularity,original_language,release_date,production_companies_id,homepage,imdb_id,revenue,tagline
299534,8.3,13196,Avengers: Endgame,"[12, 878, 28]","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",52.233999999999995,en,2019-04-24,[420],https://www.marvel.com/movies/avengers-endgame,tt4154796,2797800564,Part of the journey is the end.
19995,7.4,21287,Avatar,"[28, 12, 14, 878]","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",34.668,en,2009-12-10,"[444, 574, 25, 290]",http://www.avatarmovie.com/,tt0499549,2787965087,Enter the World of Pandora.
140607,7.4,14420,Star Wars: The Force Awakens,"[28, 12, 878, 14]","Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",31.142,en,2015-12-15,"[1634, 1, 11461]",http://www.starwars.com/films/star-wars-episode-vii,tt2488496,2068223624,Every generation has a story.
299536,8.3,18166,Avengers: Infinity War,"[12, 28, 878]","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",99.854,en,2018-04-25,[420],https://www.marvel.com/movies/avengers-infinity-war,tt4154756,2046239637,An entire universe. Once and for all.
597,7.8,16931,Titanic,"[18, 10749]","101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",35.661,en,1997-11-18,"[4, 574, 25]",,tt0120338,1845034188,Nothing on Earth could come between them.
135397,6.6,15558,Jurassic World,"[28, 12, 878, 53]","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",30.965999999999998,en,2015-06-06,"[3341, 56, 923, 33, 1778, 862]",http://www.jurassicworld.com/,tt0369610,1671713208,The park is open.
420818,7.2,5731,The Lion King,"[12, 10751]","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",63.318999999999996,en,2019-07-12,"[2, 7297]",https://movies.disney.com/the-lion-king-2019,tt6105098,1656943394,The King has Returned.
24428,7.7,22372,The Avengers,"[878, 28, 12]","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",60.388999999999996,en,2012-04-25,"[420, 4]",http://marvel.com/avengers_movie/,tt0848228,1519557910,Some assembly required.
168259,7.3,7497,Furious 7,"[28, 53]",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,28.434,en,2015-04-01,"[87857, 33, 40890, 333, 3341, 86352, 87858, 1778, 2531, 1225]",http://www.furious7.com/,tt2820852,1515047671,Vengeance Hits Home
99861,7.3,15812,Avengers: Age of Ultron,"[28, 12, 878]","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",33.656,en,2015-04-22,[420],http://marvel.com/movies/movie/193/avengers_age_of_ultron,tt2395427,1405403694,A New Age Has Come.
