id,vote_average,vote_count,title,genre_id,overview,popularity,original_language,release_date,production_companies_id,homepage,imdb_id,revenue,tagline,similar_movie_id
38700,7.2,3950,Bad Boys for Life,"[53, 28, 80]","Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",97.276,en,2020-01-15,"[5, 2481, 84792, 10288, 907]",https://www.badboysforlife.movie/,tt1502397,191150000,Ride together. Die together.,"[357096, 807, 75780, 984, 11423, 4639, 60670, 8090, 12150, 9573, 18476, 256731, 2275, 9604, 9437, 4638, 1572, 2832, 392044, 1949, 90, 548754, 1586, 18587, 306, 2749, 524251, 55846, 2017, 9481, 10651, 293670, 455957, 96, 39436, 25376, 3432, 10559, 4771, 193893, 467632, 10990, 181283, 500664, 64688, 290250, 10528, 2048, 28355, 6951, 146198, 963, 146233, 189, 949, 395990, 3580, 5549, 49524, 562, 3580, 447404, 12201, 396806, 948, 9737, 275, 601807, 65754, 395834, 449756, 570670, 581528, 369300, 8843, 9631, 573, 567970, 26390, 21484, 402, 445954, 9411, 49797, 11092, 320, 6973, 123109, 305943, 371608, 395841, 372343, 7007, 136795, 11229, 1266, 10375, 1923, 479040, 14240]"
157438,0.0,1,An American Werewolf in London,[27],Remake of the 80's classic.,4.982,en,2020-12-31,[],,tt1465834,0,,[]
236426,9.0,2,Cleanin' Up the Town: Remembering Ghostbusters,[99],"The documentary that tells us the full story from where it all started through to the future of the ""Ghostbusters"" franchise.",3.178,en,2020-01-07,[],https://buenoproductions.com/films/cleanin-up-the-town-remembering-ghostbusters/,tt1446678,0,"First in 1984. Again in '89. Still in 2016, bustin' makes us feel good",[]
245842,0.0,0,The King's Daughter,"[14, 28, 12]","King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",3.253,en,2020-09-05,"[17393, 4]",,tt2328678,0,What on Earth Can Hold More Power Than a King?,"[34584, 333339, 8966, 10140, 628, 4348, 68737, 283378, 630, 203739, 428078, 674, 262504, 157350, 80274, 262500, 70160, 2268, 671, 101299, 671, 146, 8619, 131634, 131631, 2454, 336843, 294254, 49529, 50619, 32657, 12155, 411, 198663, 24021, 2486, 281957, 299687, 581, 46529, 2454, 122, 581, 123553, 2274, 12146, 11362, 399019, 58857, 465136, 263341, 7980, 445651, 96724, 61979, 9880, 342470, 466282, 286565, 399121, 556678, 454983, 411728, 595, 501395, 470044, 222935, 331482, 449176, 109491, 76285, 157386, 440161, 397837, 12182, 24418, 72710, 227156, 32293, 43923, 272693, 11040, 417678, 84892, 4584, 109689, 19840, 8326, 38117, 3175, 11943, 50479, 9779, 423899, 306952, 308369, 3573, 82654, 450322, 37609]"
266450,4.3,3,Suriname,"[80, 18]","When Winston Righter decides eligible to stand for the presidency in Suriname, he is confronted with his criminal past. A chess breaks loose as he competes with justice and the underworld.",1.507,nl,2020-02-20,[],,tt11192054,0,,[]
272094,6.0,1,Tattoo of Revenge,"[35, 10749, 53]","After suffering a violent incident, a woman decides to become a vigilante, defending every woman who has suffered from physical or psychological abuse.",3.949,es,2020-02-14,[92077],,tt8276106,0,,[]
280476,0.0,0,The Passenger,[],Based on a Urban Legend,2.234,en,2020-07-06,[26698],,tt3848268,10000,,[]
280773,0.0,0,Ambiancé,[99],Space and time is intertwined into a surreal dream-like journey beyond places and is an abstract nonlinear narrative summary of artist Anders Weberg's time spent with the moving image.,1.085,sv,2020-12-31,[],http://www.thelongestfilm.com/,tt3854496,0,,"[306819, 25313, 179144, 3034, 472674, 2666, 339877, 1694, 42314, 20850, 340666, 9383, 105, 196, 1930, 10326, 5548, 2978, 98566, 210860, 9426, 120467, 2268, 3035, 149, 102382, 59436, 336843, 354859, 1281, 423612, 126889, 531428, 582, 263115, 398173, 5038, 490, 384521, 426, 258230, 209247, 491472, 9488, 19901, 9493, 37707, 87093, 19, 4806, 4961, 2313, 4977, 2614, 5876, 269795, 895, 29592, 9410, 44147, 64678, 263472, 7508, 7512, 229, 3036, 2786, 746, 9574, 21733, 18111, 9702, 11453, 52520, 19204, 441, 2294, 14248, 40807, 423988, 12107, 18041, 341006, 300, 401104, 9556, 159002, 336560, 1259, 14510, 12271, 39452, 3635, 9292, 14372, 228066, 152742, 257785, 2769, 38684]"
310583,0.0,13,Daddy's Girl,"[18, 53]","A twisted suspense thriller about a manipulative teenage girl who convinces her widower/alcoholic/over protective father that the boy she asked out on a date beat and raped her, when in fact he turned down her advances. But no amount of facts can persuade this enraged father. No one hurts Daddy's Girl.",6.165,en,2020-06-15,[27787],http://www.blinky-productions.com/DG.html,tt4267024,0,I will kill for you,"[22705, 50270, 14174, 24402, 50124, 28468, 86331, 341174, 27066, 796, 136835, 4995, 467956, 122081, 3682, 12531, 10246, 2770, 4247, 16048, 10537, 2652, 112160, 179144, 351523, 10474, 258480, 74997, 2057, 551824, 508138, 169917, 339692, 13186, 1538, 9453, 5549, 6075, 370663, 51876, 339692, 184, 460229, 169917, 370663, 27578, 204082, 249397, 539, 5549, 6075, 144336, 37724, 308266, 264660, 156022, 38810, 340837, 106646, 634, 340837, 138697, 242582, 398181, 273481, 44214, 400535, 27, 17609, 559969, 88, 7516, 152532, 979, 47570, 40348, 1948, 596695, 41280, 390845, 41280, 390845, 4248, 8363, 240832, 138832, 635, 291870, 459992, 2666, 109414, 1878, 402, 301355, 53932, 390062, 241251, 1643, 429200, 314]"
315666,0.0,0,Walking to Paris,"[18, 12]","The 27 year old Romanian sculptor Constantin Brancusi walked from Romania to Paris in 1903 and 1904 as a preparation and prelude to becoming the most important sculptor of the 20th century. Brancusi leaves his small village of Hobitza, south of the Carpathian Mountains and walks through Romania, Hungary, Austria, Germany, Switzerland, and parts of France to arrive in Paris, the metropolis of world culture for the first three decades of the 1900s. He walks in spring, summer, winter and autumn, treading the landscape away from the beaten track, experiencing sights, having adventures, suffering hardships, looking, touching and feeling the world as a preparation of what is to come for him.",1.041,en,2020-01-01,"[42921, 42922, 17084]",https://www.cinatura.com/Projects-1/Walking-to-Paris,tt3512332,0,,[]
