id,logo_path,name,origin_country
34,/GagSvqWlyPdkFHMfQ3pNq6ix9P.png,Sony Pictures,US
10246,/rREvQNWAxkDfY9CDn2c5YxEMPdP.png,Cross Creek Pictures,US
6573,,Mimran Schur Pictures,US
333,/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png,Original Film,US
103673,,The Hideaway Entertainment,US
124335,/tnygXlYGY04uGaMoXqbS34FBsTJ.png,Valiant Entertainment,US
5,/71BqEFAF4V3qjjMPCpLuyJFB9A.png,Columbia Pictures,US
1225,,One Race,US
30148,/zerhOenUD6CkH8SMgZUhrDkOs4w.png,Bona Film Group,CN
25120,/lqUpBvDLQYG3QaKNpe2lxfpgh36.png,Warner Animation Group,US
174,/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png,Warner Bros. Pictures,US
2608,/g3YRudXiQzHesQqRXvnhFpMzfkU.png,Happy Madison Productions,US
133986,,Netflix,
72725,,QC Entertainment,US
10644,/ocLZIdYJBppuCt1rhYEb2jbpt5F.png,Blur Studios,US
77884,/dP2lxVNctD5Cried0IWVqgrO2o9.png,Marza Animation Planet,JP
4,/fycMZt242LVjagMByZOLUGbCvv3.png,Paramount,US
113750,/A3QVZ9Ah0yI2d2GiXUFpdlbTgyr.png,SEGA,JP
100711,,DJ2 Entertainment,
24955,/bX3cYCRWdddXTgIcDEfNiVa8U4j.png,Paramount Animation,US
2,/wdrCwmRnLFJhEoH8GSfymY85KHT.png,Walt Disney Pictures,US
3,/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png,Pixar,US
106544,,AGBO,US
109172,,Thematic Entertainment,US
92029,,TGIM Films,US
3172,/kDedjRZwO8uyFhuHamomOhN6fzG.png,Blumhouse Productions,US
33,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png,Universal Pictures,US
6748,/74qmkZFGFMbCsIKo2Dk62QVsUKf.png,Goalpost Pictures,AU
9993,/2Tc1P3Ac8M479naPp1kYT3izLS5.png,DC Entertainment,US
82968,,LuckyChap Entertainment,GB
103462,,Kroll & Co Entertainment,US
429,/2Tc1P3Ac8M479naPp1kYT3izLS5.png,DC Comics,US
128064,,DC Films,US
101831,/l6x0SkRVp9ksGgRhboZbkI9w7PM.png,Clubhouse Pictures,US
2785,/l5zW8jjmQOCx2dFmvnmbYmqoBmL.png,Warner Bros. Animation,US
787,/cCefBs1t7jxtiz3eCxBp9yxrxGx.png,3 Arts Entertainment,US
127928,/qAh0Ofz47KVy0A3118rjHUx3usk.png,20th Century Studios,US
22213,/qx9K6bFWJupwde0xQDwOvXkOaL8.png,TSG Entertainment,US
2481,/nVEP2IHCDOBOldgDL4SSufitN9.png,Platinum Dunes,US
84792,,2.0 Entertainment,US
10288,,Don Simpson/Jerry Bruckheimer Films,US
907,/ca5SWI5uvU985f8Kbb4xc8AmVWH.png,Overbrook Entertainment,US
13240,/aTc07YaNHo8WNgkQSnvLmG6w4nW.png,Bron Studios,CA
59,/yH7OMeSxhfP0AVM6iT0rsF3F4ZC.png,A Band Apart,US
104213,/iavYBtwebxgRYZgo4dmw46RoUIU.png,Addictive Pictures,US
53152,/shr6ZcOMI3WFQo1q6J4E4yk0PZe.png,Creative Wealth Media Finance,CA
2253,,Lawrence Bender Productions,US
7076,/8BFxn9NUWSgp0ndih569Gm62xiC.png,Chernin Entertainment,US
25,/qZCc1lty5FzX30aOCVRBLzaVmcp.png,20th Century Fox,US
27467,/xYus2VP8xXlaZ4KSBDVGltoEnuP.png,Team Downey,US
10338,/el2ap6lvjcEDdbyJoB3oKiYgXu9.png,Perfect World Pictures,CN
105052,,RK films,
3076,,Allagash Films,
130530,,White Rabbit Productions,US
14,/m6AHu84oZQxvq7n1rsvMNJIAsMu.png,Miramax,US
131523,,STX Films,
521,/kP7t6RwGz2AvvTkvnI1uteEwHet.png,DreamWorks Animation,US
47729,/5NRpQ7xxmODXAjt2pRWUFMLVzvP.png,STX Entertainment,US
10529,,Notorious Pictures,
132904,,Tempo Productions Limited,
84442,,MAX Pictures,ID
1785,/wT6aIkuQTNuq8XFoDGACK8EyR6w.png,Likely Story,US
13033,,NetherRealm Studios,
123789,,Off Camera Entertainment,
17888,,K. JAM Media,US
130197,,Good Films Collective,US
10163,/16KWBMmfPX0aJzDExDrPxSLj0Pg.png,Working Title Films,GB
