movie_id,similar_movie_id
299534,299536
299534,99861
299534,271110
299534,351286
299534,24428
19995,335983
19995,50620
19995,602
19995,131631
19995,601
140607,278927
140607,80321
140607,37724
140607,209112
140607,299536
299536,299534
299536,99861
299536,209112
299536,24428
299536,271110
597,330459
597,10193
597,27205
597,293660
597,301528
135397,351286
135397,353486
135397,37724
135397,301528
135397,297762
420818,810
420818,297802
420818,102651
420818,809
420818,122
24428,353081
24428,299536
24428,99861
24428,351286
24428,299534
168259,50620
168259,354912
168259,283995
168259,101299
168259,109445
99861,299536
99861,299534
99861,24428
99861,384018
99861,209112
284054,601
284054,810
284054,62211
284054,10193
284054,420818
12445,674
12445,12444
12445,767
12445,672
12445,673
181808,411
181808,383498
181808,122917
181808,50620
181808,299534
330457,127380
330457,269149
330457,591
330457,102651
330457,671
351286,135397
351286,297802
351286,24428
351286,299534
351286,353486
109445,283995
109445,420817
109445,102651
109445,217
109445,354912
321612,1865
321612,102651
321612,337339
321612,93456
321612,8587
260513,384018
260513,127585
260513,62211
260513,383498
260513,8587
337339,475557
337339,384018
337339,297762
337339,321612
337339,269149
68721,297762
68721,424694
68721,58
68721,353486
68721,135397
271110,299537
271110,58
271110,299536
271110,299534
271110,37724
297802,420818
297802,351286
297802,102651
297802,810
297802,284054
429617,1930
429617,557
429617,558
429617,559
429617,315635
299537,271110
299537,335983
299537,285
299537,91314
299537,58
38356,155
38356,351286
38356,12444
38356,299534
38356,591
122,122917
122,420818
122,810
122,121
122,284054
37724,269149
37724,80321
37724,135397
37724,209112
37724,271110
91314,127380
91314,335983
91314,299537
91314,93456
91314,671
49026,475557
49026,150540
49026,19995
49026,50620
49026,209112
475557,337339
475557,49026
475557,155
475557,131631
475557,353486
301528,135397
301528,93456
301528,353486
301528,37724
301528,150540
10193,62211
10193,284054
10193,675
10193,597
10193,37724
58,166426
58,285
58,271110
58,68721
58,354912
330459,597
330459,301528
330459,602
330459,297761
330459,297762
420817,259316
420817,109445
420817,411
420817,297761
420817,283995
1865,321612
1865,206647
1865,27205
1865,80321
1865,127585
127380,91314
127380,330457
127380,127585
127380,62211
127380,206647
12155,424694
12155,810
12155,301528
12155,57158
12155,135397
269149,80321
269149,37724
269149,591
269149,384018
269149,330457
49051,12
49051,57158
49051,328111
49051,278927
49051,99861
155,38356
155,475557
155,49026
155,809
155,351286
8587,810
8587,127585
8587,102651
8587,321612
8587,260513
671,12444
671,767
671,672
671,12445
671,675
93456,150540
93456,301528
93456,321612
93456,335983
93456,315635
278927,57158
278927,140607
278927,80321
278927,49051
278927,269149
353486,135397
353486,101299
353486,68721
353486,301528
353486,14161
285,58
285,297762
285,27205
285,166426
285,299537
57158,278927
57158,49051
57158,329
57158,354912
57158,109445
122917,122
122917,102651
122917,675
122917,181808
122917,140607
12444,674
12444,12445
12444,672
12444,673
12444,671
12,101299
12,49051
12,120
12,1865
12,217
675,674
675,767
675,673
675,12444
675,672
767,675
767,674
767,12445
767,671
767,12444
809,420818
809,810
809,217
809,1930
809,122
121,120
121,122
121,293660
121,93456
121,335983
329,297761
329,810
329,57158
329,10193
329,8587
674,12445
674,12444
674,673
674,672
674,675
424694,12155
424694,68721
424694,810
424694,131631
424694,335983
559,557
559,558
559,315635
559,1930
559,429617
206647,127585
206647,1865
206647,80321
206647,269149
206647,591
315635,559
315635,558
315635,557
315635,1930
315635,429617
672,673
672,674
672,12444
672,12445
672,671
328111,27205
328111,8373
328111,150540
328111,383498
328111,49051
209112,384018
209112,80321
209112,299536
209112,37724
209112,150540
120,121
120,50620
120,101299
120,12
120,19995
452557,8373
452557,27205
452557,101299
452557,80321
452557,328111
283995,109445
283995,168259
283995,354912
283995,269149
283995,429617
150540,27205
150540,80321
150540,93456
150540,328111
150540,420818
335983,19995
335983,91314
335983,299537
335983,601
335983,93456
284053,353081
284053,315635
284053,140607
284053,278927
284053,19995
101299,12
101299,168259
101299,353486
101299,354912
101299,452557
8373,328111
8373,452557
8373,27205
8373,293660
8373,101299
50620,168259
50620,19995
50620,120
50620,354912
50620,49026
27205,150540
27205,328111
27205,383498
27205,384018
27205,1865
297762,285
297762,68721
297762,135397
297762,337339
297762,140607
557,559
557,558
557,1930
557,429617
557,315635
602,601
602,19995
602,330459
602,299537
602,335983
259316,420817
259316,411
259316,672
259316,12445
259316,297761
354912,168259
354912,283995
354912,101299
354912,58
354912,50620
810,420818
810,284054
810,122
810,809
810,12155
166426,58
166426,217
166426,285
166426,109445
166426,354912
601,284054
601,602
601,62211
601,335983
601,19995
353081,24428
353081,284053
353081,14161
353081,297762
353081,297761
673,674
673,672
673,12444
673,675
673,12445
217,166426
217,809
217,109445
217,102651
217,420818
558,559
558,557
558,1930
558,315635
558,429617
293660,8373
293660,315635
293660,558
293660,121
293660,452557
118340,1930
118340,591
118340,135397
118340,411
118340,767
14161,285
14161,353486
14161,353081
14161,122
14161,299537
591,269149
591,672
591,206647
591,118340
591,297761
384018,80321
384018,27205
384018,269149
384018,209112
384018,260513
102651,420818
102651,109445
102651,27205
102651,297802
102651,321612
1930,557
1930,429617
1930,559
1930,558
1930,315635
131631,19995
131631,475557
131631,335983
131631,557
131631,424694
127585,206647
127585,127380
127585,1865
127585,260513
127585,383498
80321,269149
80321,384018
80321,150540
80321,206647
80321,209112
297761,591
297761,24428
297761,329
297761,330459
297761,420817
411,383498
411,181808
411,12445
411,259316
411,1930
62211,284054
62211,10193
62211,601
62211,127380
62211,260513
383498,411
383498,27205
383498,328111
383498,181808
383498,127585
